14	13
16	10
17	9
17	9
17	9
18	8
19	8
19	8
20	4
20	4
20	4
20	4
21	10
22	1
23	15
24	2
25	11
25	11
25	11
29	10
30	18
30	18
30	27
31	2
31	23
32	11
32	13
33	12
34	31
35	14
35	14
36	8
37	18
37	18
37	18
38	10
38	10
38	10
39	12
39	12
39	13
40	15
41	26
41	3
42	1
42	3
43	26
43	3
43	41
44	5
44	5
44	5
45	17
45	9
45	9
47	10
47	29
48	10
49	18
49	18
50	4
50	4
50	4
51	5
51	5
52	17
53	10
54	46
54	46
54	46
55	27
55	5
56	26
56	3
57	11
57	11
57	32
58	2
58	2
58	24
59	31
59	34
60	26
60	26
60	46
6	1
61	23
61	31
61	31
62	10
6	3
63	10
64	4
64	4
65	1
66	21
67	23
68	14
69	1
70	18
7	-1
71	10
71	18
71	52
72	66
73	8
74	8
74	8
75	27
76	46
76	46
77	31
77	31
78	32
79	11
80	24
81	9
82	18
83	8
84	66
85	1
86	13
87	2
88	26
89	31
90	10
90	10
91	4
92	27
93	52
94	12
95	46
96	26
97	15
98	21
99	10
