17	9
19	8
20	4
25	11
31	2
32	13
32	14
35	14
37	18
38	10
39	12
39	33
40	15
40	23
42	3
42	6
43	41
44	5
45	17
45	9
47	29
49	18
49	30
49	37
50	20
50	4
51	44
51	5
52	17
52	45
54	46
55	44
55	5
55	51
56	3
56	41
56	43
57	11
57	25
57	32
58	2
58	24
59	34
60	26
61	23
61	31
64	20
64	4
64	50
65	1
67	23
68	14
68	35
69	1
69	6
70	18
70	30
70	37
70	49
7	-1
71	10
71	16
71	48
71	53
71	62
71	63
73	18
73	19
73	8
74	36
74	8
75	27
75	30
76	46
76	54
77	31
77	61
78	32
78	57
79	11
79	25
79	57
80	24
80	58
81	17
81	45
81	9
82	18
82	71
83	74
83	8
84	66
84	72
85	1
85	22
85	42
86	13
86	39
87	2
87	58
88	26
88	41
88	43
88	56
89	31
89	34
89	59
89	61
89	77
90	10
90	21
90	38
91	20
91	4
91	50
91	64
92	27
92	55
93	52
93	71
94	12
94	39
95	46
95	54
95	60
95	76
96	26
96	60
97	15
98	21
98	66
99	10
99	29
99	38
99	47
99	90
