17	9
19	8
20	4
25	11
31	2
32	13
32	14
35	14
37	18
38	10
39	12
39	33
40	15
40	23
42	3
42	6
43	41
44	5
45	9
45	9
47	29
49	18
49	18
49	30
50	4
50	4
51	5
51	5
52	9
52	9
54	46
55	5
55	5
55	5
56	3
56	41
56	41
57	11
57	11
57	13
58	2
58	24
59	34
60	26
61	2
61	23
64	4
64	4
64	4
65	1
67	23
68	14
68	14
69	1
69	6
70	18
70	18
70	18
70	30
7	-1
71	10
71	16
71	48
71	53
71	62
71	63
73	18
73	8
73	8
74	36
74	8
75	27
75	30
76	46
76	46
77	2
77	23
78	11
78	13
79	11
79	11
79	11
80	2
80	24
81	9
81	9
81	9
82	10
82	18
83	8
83	8
84	66
84	72
85	1
85	22
85	3
86	12
86	13
87	2
87	2
88	26
88	3
88	41
88	41
89	2
89	23
89	31
89	34
89	34
90	10
90	10
90	21
91	4
91	4
91	4
91	4
92	27
92	5
93	10
93	17
94	12
94	12
95	26
95	46
95	46
95	46
96	26
96	26
97	15
98	21
98	66
99	10
99	10
99	10
99	29
99	29
